call_id,call_date,call_status,sentiment,awareness_flag,final_interest_flag,user_scheme_level,interaction_count,call_direction
331891,2025-12-04,completed,Positive,no,yes,first,9,outbound
331899,2025-12-04,busy,,,,,,outbound
331900,2025-12-04,busy,,,,,,outbound
331902,2025-12-04,completed,Neutral,,,,1,outbound
331905,2025-12-04,no-answer,,,,,,outbound
331907,2025-12-04,no-answer,,,,,,outbound
331910,2025-12-04,busy,,,,,,outbound
331915,2025-12-04,completed,Positive,yes,yes,second,12,outbound
331920,2025-12-04,completed,Negative,no,no,first,5,outbound
331925,2025-12-04,completed,Positive,yes,yes,third,8,outbound
331930,2025-12-03,completed,Neutral,no,no,first,3,outbound
331935,2025-12-03,busy,,,,,,outbound
331940,2025-12-03,completed,Positive,yes,yes,second,15,outbound
331945,2025-12-03,no-answer,,,,,,outbound
331950,2025-12-03,completed,Positive,yes,yes,first,7,outbound
331955,2025-12-02,completed,Neutral,no,no,first,4,outbound
331960,2025-12-02,busy,,,,,,outbound
331965,2025-12-02,completed,Positive,yes,yes,second,11,outbound
331970,2025-12-02,completed,Negative,no,no,first,2,outbound
331975,2025-12-02,no-answer,,,,,,outbound
331980,2025-12-01,completed,Positive,yes,yes,third,10,outbound
331985,2025-12-01,completed,Neutral,no,yes,first,6,outbound
331990,2025-12-01,busy,,,,,,outbound
331995,2025-12-01,completed,Positive,yes,yes,second,14,outbound
332000,2025-12-01,no-answer,,,,,,outbound
